2015-07-07 00:36:23,586 [INFO ][main            ][.tgrynchuk.bookeditor.EntryPoint] - []Starts......
2015-07-07 00:36:23,729 [INFO ][main            ][editor.mvc.engine.BookController] - []start()-->
2015-07-07 00:36:23,816 [INFO ][main            ][editor.mvc.engine.BookController] - []set lang en
2015-07-07 00:36:24,394 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - [][0 --> УКРАЇНСЬКОЮ, 1 --> Open file..., 2 --> Show not formatted text, 3 --> Show formatted text, 4 --> Show not formatted sentences, 5 --> Show formatted sentences, 6 --> Show by tokens, 7 --> Show only words, 8 --> Sort by first consonant letter, 9 --> Sort by first consonant letter (lambda-comparator), q --> Quit program]
2015-07-07 00:36:24,401 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - [][0 --> УКРАЇНСЬКОЮ, 1 --> Open file..., 2 --> Show not formatted text, 3 --> Show formatted text, 4 --> Show not formatted sentences, 5 --> Show formatted sentences, 6 --> Show by tokens, 7 --> Show only words, 8 --> Sort by first consonant letter, 9 --> Sort by first consonant letter (lambda-comparator), q --> Quit program]
2015-07-07 00:36:31,981 [DEBUG][main            ][editor.mvc.engine.BookController] - []mainMenu.select 0
2015-07-07 00:36:31,982 [DEBUG][main            ][ngine.menus.items.ChangeLangItem] - []ChangeLangItem.execute()
2015-07-07 00:36:32,000 [INFO ][main            ][editor.mvc.engine.BookController] - []set lang ua
2015-07-07 00:36:32,003 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - [][0 --> ENGLISH, 1 --> Відкрити файл..., 2 --> Показати не форматований текст, 3 --> Показати відформатований текст, 4 --> Показати не форматовані речення, 5 --> Показати відформатовані речення, 6 --> Показати по токенах, 7 --> Показати лише слова, 8 --> Сортувати за першою приголосною, 9 --> Сортувати за першою приголосною (lambda-comparator), q --> Вийти з програми]
2015-07-07 00:36:32,004 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - [][0 --> ENGLISH, 1 --> Відкрити файл..., 2 --> Показати не форматований текст, 3 --> Показати відформатований текст, 4 --> Показати не форматовані речення, 5 --> Показати відформатовані речення, 6 --> Показати по токенах, 7 --> Показати лише слова, 8 --> Сортувати за першою приголосною, 9 --> Сортувати за першою приголосною (lambda-comparator), q --> Вийти з програми]
2015-07-07 00:36:35,976 [DEBUG][main            ][editor.mvc.engine.BookController] - []mainMenu.select 2
2015-07-07 00:36:35,978 [DEBUG][main            ][s.items.ShowNotFormattedTextItem] - []ShowNotFormattedTextItem.execute()
2015-07-07 00:36:35,978 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - []Спочатку відкрийте файл !
2015-07-07 00:36:35,979 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - [][0 --> ENGLISH, 1 --> Відкрити файл..., 2 --> Показати не форматований текст, 3 --> Показати відформатований текст, 4 --> Показати не форматовані речення, 5 --> Показати відформатовані речення, 6 --> Показати по токенах, 7 --> Показати лише слова, 8 --> Сортувати за першою приголосною, 9 --> Сортувати за першою приголосною (lambda-comparator), q --> Вийти з програми]
2015-07-07 00:36:35,980 [DEBUG][main            ][rynchuk.bookeditor.mvc.ui.Window] - [][0 --> ENGLISH, 1 --> Відкрити файл..., 2 --> Показати не форматований текст, 3 --> Показати відформатований текст, 4 --> Показати не форматовані речення, 5 --> Показати відформатовані речення, 6 --> Показати по токенах, 7 --> Показати лише слова, 8 --> Сортувати за першою приголосною, 9 --> Сортувати за першою приголосною (lambda-comparator), q --> Вийти з програми]
2015-07-07 00:36:41,133 [DEBUG][main            ][editor.mvc.engine.BookController] - []mainMenu.select q
2015-07-07 00:36:41,134 [INFO ][main            ][ine.menus.items.QuitProgtramItem] - []QuitProgtramItem.execute()
